field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
individually_and_on_behalf_of,individually and on behalf of,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1,1,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2,2,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
on_behalf_of,on behalf of,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
1_2,1_2,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2_2,2_2,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
defendant,Defendant,W008,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
on_behalf_of_2,on behalf of_2,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
certification_for_electronic_filing_of_complaint_or_motion_to_extend_protection_order,CERTIFICATION FOR ELECTRONIC FILING OF COMPLAINT OR MOTION TO EXTEND PROTECTION ORDER,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W011,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W012,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
i_understand_i_must_have_access_to_a_safe_phone_number_and_a_safe_email_that_i_can_check_regularly_to_file,I UNDERSTAND I must have access to a safe phone number and a safe email that I can check regularly to file,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_understand_if_the_court_schedules_me_for_a_call_with_the_judge_the_defendant_will_not_be_on_the_call_and_i,I UNDERSTAND if the court schedules me for a call with the judge the defendant will not be on the call and I,W014,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
i_understand_that_filing_by_email_does_not_mean_i_am_automatically_protected_a_judge_must_review_my_filing,I UNDERSTAND that filing by email does not mean I am automatically protected A judge must review my filing,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_understand_that_any_filings_received_electronically_on_a_weekend_legal_holiday_during_a_court_closure_or,I UNDERSTAND that any filings received electronically on a weekend legal holiday during a court closure or,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_understand_that_i_may_file_electronically_without_oath_and_notarization_only_if_i_check_the_box_on_the,I UNDERSTAND that I may file electronically without oath and notarization only if I check the box on the,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_understand_that_all_documents_filed_by_email_must_be_in_word_or_pdf_format_all_documents_filed_by,I UNDERSTAND that all documents filed by email must be in Word or PDF format All documents filed by,W018,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
safe_email,Safe email,W019,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
safe_phone_number,Safe phone number,W020,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
check_here_if_you_would_like_the_clerk_to_also_call_you_with_your_scheduled_time_please_note_that_the_clerk_may,Check here if you would like the clerk to also call you with your scheduled time Please note that the clerk may,W021,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
i_want_to_file_this_matter_in_court_locationtown_name,I want to file this matter in court locationtown name,W022,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
i_am_filing_by_email_this_option_is_available_for_all_courts_but_only_for_complaints_and_motions_to,I am filing by email this option is available for all courts but only for complaints and motions to,W023,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
wwwcourtsmainegovecourtsindexhtml_for_a_list_of_courts_that_accept_efiling_and_to_learn_about_the,wwwcourtsmainegovecourtsindexhtml for a list of courts that accept eFiling and to learn about the,W024,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W025,text,text,narrative_derived,date,2,5,green,,Y,,llm_over_narrative,
s,s,W026,text,text,narrative_derived,free_text,2,5,green,,Y,,llm_over_narrative,
